RT_category	SampleTypev2	KEGG_category_name	KEGG_subcategory_name	KEGG_pathway_name	KO	description	gene_mean	nSampleTypes
Intermediate RT	Tongue_dorsum	Metabolism	Metabolism of cofactors and vitamins	Retinol metabolism	K13953	alcohol dehydrogenase, propanol-preferring	2.9001688277511964e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Xenobiotics biodegradation and metabolism	Chloroalkane and chloroalkene degradation	K13953	alcohol dehydrogenase, propanol-preferring	2.9001688277511964e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - cytochrome P450	K13953	alcohol dehydrogenase, propanol-preferring	2.9001688277511964e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Xenobiotics biodegradation and metabolism	Metabolism of xenobiotics by cytochrome P450	K13953	alcohol dehydrogenase, propanol-preferring	2.9001688277511964e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Xenobiotics biodegradation and metabolism	Naphthalene degradation	K13953	alcohol dehydrogenase, propanol-preferring	2.9001688277511964e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Amino acid metabolism	Tyrosine metabolism	K13954	alcohol dehydrogenase	2.7138413923444975e-5	418
Intermediate RT	Tongue_dorsum	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K13954	alcohol dehydrogenase	2.7138413923444975e-5	418
Intermediate RT	Tongue_dorsum	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K13954	alcohol dehydrogenase	2.7138413923444975e-5	418
Intermediate RT	Tongue_dorsum	Metabolism	Lipid metabolism	Fatty acid degradation	K13954	alcohol dehydrogenase	2.7138413923444975e-5	418
Intermediate RT	Tongue_dorsum	Metabolism	Xenobiotics biodegradation and metabolism	Chloroalkane and chloroalkene degradation	K13954	alcohol dehydrogenase	2.7138413923444975e-5	418
Intermediate RT	Tongue_dorsum	Metabolism	Xenobiotics biodegradation and metabolism	Naphthalene degradation	K13954	alcohol dehydrogenase	2.7138413923444975e-5	418
