SampleID	Env	SourceSink	id
158802708_Buccal_mucosa	Buccal mucosa	Source	8
158802708_Buccal_mucosa	Buccal mucosa	Source	9
158802708_Buccal_mucosa	Buccal mucosa	Source	10
158802708_Buccal_mucosa	Buccal mucosa	Source	11
158802708_Buccal_mucosa	Buccal mucosa	Source	12
158802708_Buccal_mucosa	Buccal mucosa	Source	13
158802708_Buccal_mucosa	Buccal mucosa	Source	14
158802708_Buccal_mucosa	Buccal mucosa	Source	15
158802708_Buccal_mucosa	Buccal mucosa	Source	16
158802708_Buccal_mucosa	Buccal mucosa	Source	17
158802708_Buccal_mucosa	Buccal mucosa	Source	18
158802708_Buccal_mucosa	Buccal mucosa	Source	19
158883629_Buccal_mucosa	Buccal mucosa	Source	1
158883629_Buccal_mucosa	Buccal mucosa	Source	2
158883629_Buccal_mucosa	Buccal mucosa	Source	3
158883629_Buccal_mucosa	Buccal mucosa	Source	4
158883629_Buccal_mucosa	Buccal mucosa	Source	5
158883629_Buccal_mucosa	Buccal mucosa	Source	6
158883629_Buccal_mucosa	Buccal mucosa	Source	7
158883629_Buccal_mucosa	Buccal mucosa	Source	8
158883629_Buccal_mucosa	Buccal mucosa	Source	9
158883629_Buccal_mucosa	Buccal mucosa	Source	10
158883629_Buccal_mucosa	Buccal mucosa	Source	11
158883629_Buccal_mucosa	Buccal mucosa	Source	12
158883629_Buccal_mucosa	Buccal mucosa	Source	13
158883629_Buccal_mucosa	Buccal mucosa	Source	14
158883629_Buccal_mucosa	Buccal mucosa	Source	15
158883629_Buccal_mucosa	Buccal mucosa	Source	16
158883629_Buccal_mucosa	Buccal mucosa	Source	17
158883629_Buccal_mucosa	Buccal mucosa	Source	18
158883629_Buccal_mucosa	Buccal mucosa	Source	19
158944319_Buccal_mucosa	Buccal mucosa	Source	1
158944319_Buccal_mucosa	Buccal mucosa	Source	2
158944319_Buccal_mucosa	Buccal mucosa	Source	3
158944319_Buccal_mucosa	Buccal mucosa	Source	4
158944319_Buccal_mucosa	Buccal mucosa	Source	5
158944319_Buccal_mucosa	Buccal mucosa	Source	6
158944319_Buccal_mucosa	Buccal mucosa	Source	7
158944319_Buccal_mucosa	Buccal mucosa	Source	8
158944319_Buccal_mucosa	Buccal mucosa	Source	9
158944319_Buccal_mucosa	Buccal mucosa	Source	10
158944319_Buccal_mucosa	Buccal mucosa	Source	11
158944319_Buccal_mucosa	Buccal mucosa	Source	12
158944319_Buccal_mucosa	Buccal mucosa	Source	13
158944319_Buccal_mucosa	Buccal mucosa	Source	14
158944319_Buccal_mucosa	Buccal mucosa	Source	15
158944319_Buccal_mucosa	Buccal mucosa	Source	16
158944319_Buccal_mucosa	Buccal mucosa	Source	17
158944319_Buccal_mucosa	Buccal mucosa	Source	18
158944319_Buccal_mucosa	Buccal mucosa	Source	19
159207311_Buccal_mucosa	Buccal mucosa	Source	1
159207311_Buccal_mucosa	Buccal mucosa	Source	2
159207311_Buccal_mucosa	Buccal mucosa	Source	3
159207311_Buccal_mucosa	Buccal mucosa	Source	4
159207311_Buccal_mucosa	Buccal mucosa	Source	5
159207311_Buccal_mucosa	Buccal mucosa	Source	6
159207311_Buccal_mucosa	Buccal mucosa	Source	7
159207311_Buccal_mucosa	Buccal mucosa	Source	8
159207311_Buccal_mucosa	Buccal mucosa	Source	9
159207311_Buccal_mucosa	Buccal mucosa	Source	10
159207311_Buccal_mucosa	Buccal mucosa	Source	11
159207311_Buccal_mucosa	Buccal mucosa	Source	12
159207311_Buccal_mucosa	Buccal mucosa	Source	13
159207311_Buccal_mucosa	Buccal mucosa	Source	14
159207311_Buccal_mucosa	Buccal mucosa	Source	15
159207311_Buccal_mucosa	Buccal mucosa	Source	16
159207311_Buccal_mucosa	Buccal mucosa	Source	17
159207311_Buccal_mucosa	Buccal mucosa	Source	18
159207311_Buccal_mucosa	Buccal mucosa	Source	19
159227541_Buccal_mucosa	Buccal mucosa	Source	1
159227541_Buccal_mucosa	Buccal mucosa	Source	2
159227541_Buccal_mucosa	Buccal mucosa	Source	3
159227541_Buccal_mucosa	Buccal mucosa	Source	4
159227541_Buccal_mucosa	Buccal mucosa	Source	5
159227541_Buccal_mucosa	Buccal mucosa	Source	6
159227541_Buccal_mucosa	Buccal mucosa	Source	7
159227541_Buccal_mucosa	Buccal mucosa	Source	8
159227541_Buccal_mucosa	Buccal mucosa	Source	9
159227541_Buccal_mucosa	Buccal mucosa	Source	10
159227541_Buccal_mucosa	Buccal mucosa	Source	11
159227541_Buccal_mucosa	Buccal mucosa	Source	12
159227541_Buccal_mucosa	Buccal mucosa	Source	13
159227541_Buccal_mucosa	Buccal mucosa	Source	14
159227541_Buccal_mucosa	Buccal mucosa	Source	15
159227541_Buccal_mucosa	Buccal mucosa	Source	16
159227541_Buccal_mucosa	Buccal mucosa	Source	17
159227541_Buccal_mucosa	Buccal mucosa	Source	18
159227541_Buccal_mucosa	Buccal mucosa	Source	19
159268001_Buccal_mucosa	Buccal mucosa	Source	1
159268001_Buccal_mucosa	Buccal mucosa	Source	2
159268001_Buccal_mucosa	Buccal mucosa	Source	3
159268001_Buccal_mucosa	Buccal mucosa	Source	4
159268001_Buccal_mucosa	Buccal mucosa	Source	5
159268001_Buccal_mucosa	Buccal mucosa	Source	6
159268001_Buccal_mucosa	Buccal mucosa	Source	7
159268001_Buccal_mucosa	Buccal mucosa	Source	8
159268001_Buccal_mucosa	Buccal mucosa	Source	9
159268001_Buccal_mucosa	Buccal mucosa	Source	10
159268001_Buccal_mucosa	Buccal mucosa	Source	11
159268001_Buccal_mucosa	Buccal mucosa	Source	12
159268001_Buccal_mucosa	Buccal mucosa	Source	13
159268001_Buccal_mucosa	Buccal mucosa	Source	14
159268001_Buccal_mucosa	Buccal mucosa	Source	15
159268001_Buccal_mucosa	Buccal mucosa	Source	16
159268001_Buccal_mucosa	Buccal mucosa	Source	17
159268001_Buccal_mucosa	Buccal mucosa	Source	18
159268001_Buccal_mucosa	Buccal mucosa	Source	19
159389382_Buccal_mucosa	Buccal mucosa	Source	1
159389382_Buccal_mucosa	Buccal mucosa	Source	2
159389382_Buccal_mucosa	Buccal mucosa	Source	3
159389382_Buccal_mucosa	Buccal mucosa	Source	4
159389382_Buccal_mucosa	Buccal mucosa	Source	5
159389382_Buccal_mucosa	Buccal mucosa	Source	6
159389382_Buccal_mucosa	Buccal mucosa	Source	7
159389382_Buccal_mucosa	Buccal mucosa	Source	8
159389382_Buccal_mucosa	Buccal mucosa	Source	9
159389382_Buccal_mucosa	Buccal mucosa	Source	10
159389382_Buccal_mucosa	Buccal mucosa	Source	11
159389382_Buccal_mucosa	Buccal mucosa	Source	12
159389382_Buccal_mucosa	Buccal mucosa	Source	13
159389382_Buccal_mucosa	Buccal mucosa	Source	14
159389382_Buccal_mucosa	Buccal mucosa	Source	15
159389382_Buccal_mucosa	Buccal mucosa	Source	16
159389382_Buccal_mucosa	Buccal mucosa	Source	17
159389382_Buccal_mucosa	Buccal mucosa	Source	18
159389382_Buccal_mucosa	Buccal mucosa	Source	19
159490532_Buccal_mucosa	Buccal mucosa	Source	1
159490532_Buccal_mucosa	Buccal mucosa	Source	2
159490532_Buccal_mucosa	Buccal mucosa	Source	3
159490532_Buccal_mucosa	Buccal mucosa	Source	4
159490532_Buccal_mucosa	Buccal mucosa	Source	5
159490532_Buccal_mucosa	Buccal mucosa	Source	6
159490532_Buccal_mucosa	Buccal mucosa	Source	7
159490532_Buccal_mucosa	Buccal mucosa	Source	8
159490532_Buccal_mucosa	Buccal mucosa	Source	9
159490532_Buccal_mucosa	Buccal mucosa	Source	10
159490532_Buccal_mucosa	Buccal mucosa	Source	11
159490532_Buccal_mucosa	Buccal mucosa	Source	12
159490532_Buccal_mucosa	Buccal mucosa	Source	13
159490532_Buccal_mucosa	Buccal mucosa	Source	14
159490532_Buccal_mucosa	Buccal mucosa	Source	15
159490532_Buccal_mucosa	Buccal mucosa	Source	16
159490532_Buccal_mucosa	Buccal mucosa	Source	17
159490532_Buccal_mucosa	Buccal mucosa	Source	18
159490532_Buccal_mucosa	Buccal mucosa	Source	19
159551223_Buccal_mucosa	Buccal mucosa	Source	1
159551223_Buccal_mucosa	Buccal mucosa	Source	2
159551223_Buccal_mucosa	Buccal mucosa	Source	3
159551223_Buccal_mucosa	Buccal mucosa	Source	4
159551223_Buccal_mucosa	Buccal mucosa	Source	5
159551223_Buccal_mucosa	Buccal mucosa	Source	6
159551223_Buccal_mucosa	Buccal mucosa	Source	7
159551223_Buccal_mucosa	Buccal mucosa	Source	8
159551223_Buccal_mucosa	Buccal mucosa	Source	9
159551223_Buccal_mucosa	Buccal mucosa	Source	10
159551223_Buccal_mucosa	Buccal mucosa	Source	11
159551223_Buccal_mucosa	Buccal mucosa	Source	12
159551223_Buccal_mucosa	Buccal mucosa	Source	13
159551223_Buccal_mucosa	Buccal mucosa	Source	14
159551223_Buccal_mucosa	Buccal mucosa	Source	15
159551223_Buccal_mucosa	Buccal mucosa	Source	16
159551223_Buccal_mucosa	Buccal mucosa	Source	17
159551223_Buccal_mucosa	Buccal mucosa	Source	18
159551223_Buccal_mucosa	Buccal mucosa	Source	19
159571453_Buccal_mucosa	Buccal mucosa	Source	1
159571453_Buccal_mucosa	Buccal mucosa	Source	2
159571453_Buccal_mucosa	Buccal mucosa	Source	3
159571453_Buccal_mucosa	Buccal mucosa	Source	4
159571453_Buccal_mucosa	Buccal mucosa	Source	5
159571453_Buccal_mucosa	Buccal mucosa	Source	6
159571453_Buccal_mucosa	Buccal mucosa	Source	7
159571453_Buccal_mucosa	Buccal mucosa	Source	8
159571453_Buccal_mucosa	Buccal mucosa	Source	9
159571453_Buccal_mucosa	Buccal mucosa	Source	10
159571453_Buccal_mucosa	Buccal mucosa	Source	11
159571453_Buccal_mucosa	Buccal mucosa	Source	12
159571453_Buccal_mucosa	Buccal mucosa	Source	13
159571453_Buccal_mucosa	Buccal mucosa	Source	14
159571453_Buccal_mucosa	Buccal mucosa	Source	15
159571453_Buccal_mucosa	Buccal mucosa	Source	16
159571453_Buccal_mucosa	Buccal mucosa	Source	17
159571453_Buccal_mucosa	Buccal mucosa	Source	18
159571453_Buccal_mucosa	Buccal mucosa	Source	19
159591683_Buccal_mucosa	Buccal mucosa	Source	1
159591683_Buccal_mucosa	Buccal mucosa	Source	2
159591683_Buccal_mucosa	Buccal mucosa	Source	3
159591683_Buccal_mucosa	Buccal mucosa	Source	4
159591683_Buccal_mucosa	Buccal mucosa	Source	5
159591683_Buccal_mucosa	Buccal mucosa	Source	6
159591683_Buccal_mucosa	Buccal mucosa	Source	7
159591683_Buccal_mucosa	Buccal mucosa	Source	8
159591683_Buccal_mucosa	Buccal mucosa	Source	9
159591683_Buccal_mucosa	Buccal mucosa	Source	10
159591683_Buccal_mucosa	Buccal mucosa	Source	11
159591683_Buccal_mucosa	Buccal mucosa	Source	12
159591683_Buccal_mucosa	Buccal mucosa	Source	13
159591683_Buccal_mucosa	Buccal mucosa	Source	14
159591683_Buccal_mucosa	Buccal mucosa	Source	15
159591683_Buccal_mucosa	Buccal mucosa	Source	16
159591683_Buccal_mucosa	Buccal mucosa	Source	17
159591683_Buccal_mucosa	Buccal mucosa	Source	18
159591683_Buccal_mucosa	Buccal mucosa	Source	19
159611913_Buccal_mucosa	Buccal mucosa	Source	1
159611913_Buccal_mucosa	Buccal mucosa	Source	2
159611913_Buccal_mucosa	Buccal mucosa	Source	3
159611913_Buccal_mucosa	Buccal mucosa	Source	4
159611913_Buccal_mucosa	Buccal mucosa	Source	5
159611913_Buccal_mucosa	Buccal mucosa	Source	6
159611913_Buccal_mucosa	Buccal mucosa	Source	7
159611913_Buccal_mucosa	Buccal mucosa	Source	8
159611913_Buccal_mucosa	Buccal mucosa	Source	9
159611913_Buccal_mucosa	Buccal mucosa	Source	10
159611913_Buccal_mucosa	Buccal mucosa	Source	11
159611913_Buccal_mucosa	Buccal mucosa	Source	12
159611913_Buccal_mucosa	Buccal mucosa	Source	13
159611913_Buccal_mucosa	Buccal mucosa	Source	14
159611913_Buccal_mucosa	Buccal mucosa	Source	15
159611913_Buccal_mucosa	Buccal mucosa	Source	16
159611913_Buccal_mucosa	Buccal mucosa	Source	17
159611913_Buccal_mucosa	Buccal mucosa	Source	18
159611913_Buccal_mucosa	Buccal mucosa	Source	19
159753524_Buccal_mucosa	Buccal mucosa	Source	1
159753524_Buccal_mucosa	Buccal mucosa	Source	2
159753524_Buccal_mucosa	Buccal mucosa	Source	3
159753524_Buccal_mucosa	Buccal mucosa	Source	4
159753524_Buccal_mucosa	Buccal mucosa	Source	5
159753524_Buccal_mucosa	Buccal mucosa	Source	6
159753524_Buccal_mucosa	Buccal mucosa	Source	7
159753524_Buccal_mucosa	Buccal mucosa	Source	8
159753524_Buccal_mucosa	Buccal mucosa	Source	9
